HiSST	bssA	gabR	dhaM
1	1	1	1
2	2	2	2
3	3	3	3
4	4	4	4
5	5	5	4
6	6	6	5
7	4	7	4
8	7	5	6
9	8	8	7
10	9	9	6
11	10	10	8
12	11	11	5
13	12	12	9
14	13	13	10
15	14	14	10
16	15	15	11
17	16	16	12
18	17	17	13
19	2	18	2
20	18	19	2
21	12	20	9
22	19	21	14
23	20	22	5
24	21	23	15
25	22	12	16
26	23	24	17
27	24	25	4
28	25	26	6
29	26	27	18
30	21	17	13
31	27	6	5
32	28	5	19
33	29	28	20
34	30	11	21
35	6	11	22
36	31	14	23
37	8	29	19
38	32	30	15
39	21	31	15
40	21	1	24
41	33	32	20
42	34	11	25
43	35	33	26
44	6	11	5
45	15	34	12
46	37	35	6
